run,data_type,n,algo,time_ns,char_cmp
2,reverse,600,msd_plain,168000,2894
2,reverse,600,msd_switch,92708,6075
2,almost,600,quick_std,163709,94675
2,almost,600,merge_std,343750,6209
2,almost,600,merge_lcp,359584,2368
2,almost,600,string_quick3,43291,10490
2,almost,600,msd_plain,168333,2832
2,almost,600,msd_switch,110208,8135
2,random,700,quick_std,242625,104868
2,random,700,merge_std,524208,7436
2,random,700,merge_lcp,541958,5236
2,random,700,string_quick3,66958,10382
2,random,700,msd_plain,178041,2950
2,random,700,msd_switch,107875,4940
2,reverse,700,quick_std,149625,95738
2,reverse,700,merge_std,454500,5218
2,reverse,700,merge_lcp,489625,2655
2,reverse,700,string_quick3,46375,11728
2,reverse,700,msd_plain,200667,3388
2,reverse,700,msd_switch,108500,7103
2,almost,700,quick_std,186125,105363
2,almost,700,merge_std,412750,7372
2,almost,700,merge_lcp,420417,2769
2,almost,700,string_quick3,50083,13189
2,almost,700,msd_plain,197792,3314
2,almost,700,msd_switch,109250,9312
2,random,800,quick_std,332958,119299
2,random,800,merge_std,594958,8821
2,random,800,merge_lcp,658042,6106
2,random,800,string_quick3,81875,12265
2,random,800,msd_plain,201666,3402
2,random,800,msd_switch,121667,5820
2,reverse,800,quick_std,177708,117914
2,reverse,800,merge_std,543375,6122
2,reverse,800,merge_lcp,577583,3023
2,reverse,800,string_quick3,51958,13943
2,reverse,800,msd_plain,230333,3868
2,reverse,800,msd_switch,125625,8148
2,almost,800,quick_std,211292,121914
2,almost,800,merge_std,479250,8486
2,almost,800,merge_lcp,492959,3178
2,almost,800,string_quick3,58542,15256
2,almost,800,msd_plain,220667,3780
2,almost,800,msd_switch,124000,10421
2,random,900,quick_std,294875,136506
2,random,900,merge_std,664958,10232
2,random,900,merge_lcp,707625,6993
2,random,900,string_quick3,89625,14745
2,random,900,msd_plain,226083,3866
2,random,900,msd_switch,138292,6754
2,reverse,900,quick_std,199541,115616
2,reverse,900,merge_std,615375,6988
2,reverse,900,merge_lcp,655459,3409
2,reverse,900,string_quick3,58625,15947
